player_name,team_name,position,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalShots,totwAppearances,touches,wasFouled,yellowCards
Ben Winterburn,Bournemouth,M,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,,,0,0,0,0,0,2,2,0,0,0,,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0
Julio Soler,Bournemouth,D,0,0,4,0,0,15,5,20,86.95652174,0,0,0,3,0,4,0,0,0,0,0,0,1,3,0,0,0.00502714,,2,0,0,0,0,2,1,1,0,0,,3,50,0,0,0,3,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,6,0,0,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,50,2,16,7,23,0,0,31,2,0
Walter Benítez,Crystal Palace,G,0,0,2,5,35.71428571,4,14,18,66.66666667,0,0,0,1,0,9,0,0,0,1,1,0,0,0,0,0,0.00123253,,0,0,0,0,0,0,0,0,0,0,0.3586,0,0,0,1,0,9,0,0,0,1,90,0,0,0,0,0,0,1,0,0,0,9,0,1,7.1,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,17,27,0,0,36,0,0
Dean Henderson,Crystal Palace,G,0,0,51,134,25.37878788,105,387,492,55.46786922,14,87.5,2,29,0,235,0,0,0,10,40,0,0,3,0,2,0.11817455,,1,0,0,0,0,35,31,4,0,0,4.3971,3,75,0,19,0,395,2,1,0,29,2610,0,0,0,0,1,0,5,0,1,0,401,0,24,7.05862069,0,0,62,23,86,1,12,0,0,0,0,0,0,0,1,100,0,0,0,1,1,0,17,85,528,459,428,887,0,4,1160,5,3
Adam Wharton,Crystal Palace,M,21,27.63157895,228,54,46.95652174,466,357,823,79.13461538,22,46.80851064,25,27,5,134,11,0,14,5,35,22,33,120,0,2,5.9312769,1.336,29,0,0,0,5,33,29,4,0,0,,97,50.52083333,0,0,1,217,23,32,0,26,2174,0,0,0,0,1,0,0,0,0,0,341,14,0,7.055555556,1,0,0,0,0,0,0,0,0,0,7,19,8,4,11,45.83333333,60,34,56.66666667,32,24,76,119,49.79079498,115,629,411,1040,26,2,1434,26,4
Chris Richards,Crystal Palace,D,4,36.36363636,109,53,40.45801527,345,687,1032,84.45171849,88,57.51633987,65,26,0,52,1,0,6,9,159,9,15,105,2,1,1.24970626,1.13,14,0,10,1,1,31,28,3,1,0,,57,58.7628866,1,0,0,190,40,9,0,26,2333,0,0,0,0,0,0,0,0,0,0,290,0,0,7.003846154,0,0,0,0,0,0,0,2333,0,0,10,0,3,1,4,66.66666667,50,31,62,9,6,11,145,58,131,468,754,1222,10,0,1717,3,3
Daniel Muñoz,Crystal Palace,M,12,24.48979592,146,21,37.5,268,225,493,78.12995246,33,45.83333333,39,21,2,82,5,0,6,9,70,6,16,95,0,0,3.35101335,1.9788,24,0,15.78947368,3,5,20,19,1,3,0,,65,53.71900826,1,0,0,138,22,20,0,21,1781,6,0,0,0,0,0,0,0,0,0,227,6,0,6.961904762,0,2,0,0,0,0,0,593.6666667,0,0,17,2,5,8,1,8.333333333,51,32,62.74509804,20,12,49,98,50.77720207,56,369,262,631,19,1,1068,13,5
Jaydee Canvot,Crystal Palace,D,0,0,72,21,53.84615385,158,205,363,87.46987952,21,63.63636364,12,13,0,28,0,1,0,3,56,2,10,33,1,1,0.22431768,0.7864,9,0,0,0,0,9,8,1,0,0,,27,56.25,0,0,0,52,6,2,0,7,717,0,0,0,0,1,0,0,0,0,0,67,3,0,6.9,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,50,23,15,65.2173913,2,2,3,48,59.25925926,39,190,225,415,3,2,559,3,2
Ismaïla Sarr,Crystal Palace,F,1,6.25,108,7,43.75,187,83,270,71.42857143,21,28.76712329,52,20,1,62,3,6,7,7,25,37,6,119,0,2,0.66416741,7.9698,11,0,20.58823529,7,8,19,18,1,7,0,,62,48.0620155,1,0,2,108,8,14,1,20,1730,12,0,0,2,0,100,0,2,0,1,219,8,0,6.895,0,5,0,0,0,0,0,247.1428571,0,0,27,7,13,14,10,37.03703704,17,9,52.94117647,14,27,16,83,41.08910891,16,272,106,378,34,1,701,35,2
Maxence Lacroix,Crystal Palace,D,2,40,78,69,48.5915493,338,816,1154,87.89032749,93,59.61538462,63,28,2,76,3,2,6,10,203,6,7,105,0,2,0.8083556,2.0649,26,0,5,1,3,32,28,4,1,0,,70,62.5,1,0,1,159,35,5,0,28,2486,0,0,0,0,2,0,0,0,0,0,192,1,0,6.892857143,1,0,0,0,0,0,0,2486,0,0,18,2,10,4,5,55.55555556,50,31,62,5,9,5,163,60.82089552,142,447,866,1313,20,2,1774,16,3
